cik,alpha,beta,ariMeanRt,geoMeanRt,cagr,sharpe,sortino,annVol,maxDD,annExcessReturn,TE,IR
1274413,-22.2,1.558,-3.9,-3.8,-13.0,-0.125,-0.163,47.0,-53.18,-16.4,20.8,-0.788
1027817,-5.2,1.02,6.6,6.8,5.3,0.277,0.492,16.7,-20.7,-5.0,3.1,-1.613
1216093,-39.2,0.83,-28.6,-25.7,-30.6,-0.947,-1.104,32.3,-44.42,-41.0,14.8,-2.77
1130787,-17.0,1.248,-1.9,-1.9,-5.8,-0.15,-0.097,25.8,-50.1,-14.4,9.2,-1.565
1573876,26.6,1.217,42.3,49.4,44.0,1.294,3.647,31.1,-19.6,29.1,12.5,2.328
1722117,2.0,0.985,13.7,14.4,11.7,0.513,1.158,22.8,-16.01,1.8,6.3,0.286
1673633,6.7,1.262,22.9,24.9,21.5,0.854,1.642,24.5,-20.93,9.6,6.7,1.433
1455258,3.9,1.018,16.6,17.6,15.7,0.796,1.014,18.3,-22.74,4.1,5.2,0.788
1764968,6.8,0.951,19.2,20.6,17.5,0.741,0.969,23.2,-26.35,6.3,7.8,0.808
1698051,51.6,0.649,60.6,75.8,21.9,0.57,1.839,102.8,-53.02,47.9,51.2,0.936
1772031,17.8,1.205,32.6,36.8,32.2,1.082,2.754,28.3,-15.89,20.0,8.7,2.299
1105838,-1.6,1.643,17.7,18.9,10.6,0.397,0.687,39.4,-45.66,5.2,16.2,0.321
1480751,-1.2,2.077,22.6,24.6,10.9,0.396,1.172,52.1,-40.53,10.1,22.4,0.451
1454984,-4.5,1.082,14.7,15.5,13.7,0.697,1.752,18.2,-14.49,-3.2,2.0,-1.6
1664214,12.1,1.277,29.8,33.3,28.6,0.96,1.847,29.0,-20.71,15.5,9.3,1.667
1564835,-27.3,1.259,-9.7,-9.3,-15.2,-0.363,-0.377,32.2,-48.59,-24.1,11.3,-2.133
1409775,-7.5,0.981,7.0,7.2,0.1,0.127,0.242,39.5,-42.17,-7.7,18.5,-0.416
1717658,6.6,0.911,19.8,21.3,15.6,0.551,1.037,32.2,-23.58,5.5,13.0,0.423
1765278,2.9,0.902,19.2,20.7,15.8,0.586,1.96,29.5,-19.34,1.4,12.8,0.109
1550660,-10.2,1.435,10.5,10.9,5.9,0.263,0.699,32.3,-21.3,-4.5,10.4,-0.433
1601489,-9.1,1.285,5.6,5.7,0.2,0.117,0.211,30.4,-51.91,-6.3,11.9,-0.529
1759476,8.2,1.195,23.9,26.1,18.1,0.531,1.29,41.2,-28.7,10.4,17.2,0.605
1423442,-5.7,1.025,7.1,7.3,4.9,0.251,0.372,20.3,-36.61,-5.4,6.7,-0.806
860580,-8.1,0.883,3.2,3.2,2.2,0.086,0.237,13.9,-22.73,-9.3,2.6,-3.577
1344551,10.1,0.764,19.6,21.0,20.0,1.296,3.109,13.5,-10.28,7.8,4.2,1.857
1456075,-7.5,2.096,17.7,19.0,10.0,0.409,0.609,38.6,-46.02,4.6,14.3,0.322
1450144,115.1,1.18,128.7,205.3,71.3,0.76,2.86,166.7,-70.05,116.9,82.8,1.412
943442,4.7,0.676,13.8,14.5,13.2,0.762,1.002,15.5,-22.95,1.3,6.4,0.203
1792283,39.0,1.885,73.9,97.0,75.9,1.11,4.995,64.8,-17.89,54.4,28.7,1.895
1362255,-16.5,1.785,4.3,4.3,-0.4,0.072,0.199,31.4,-31.32,-8.2,10.2,-0.804
1368905,-4.2,0.823,6.5,6.7,5.6,0.315,0.618,14.2,-16.33,-6.1,3.9,-1.564
1541349,85.2,1.556,107.1,158.3,24.4,0.571,2.864,184.1,-81.94,92.3,91.5,1.009
1767346,6.0,0.593,14.5,15.3,14.4,0.994,1.457,12.6,-10.82,1.6,5.3,0.302
1569147,-3.9,0.815,7.5,7.7,3.6,0.206,0.297,26.7,-41.89,-6.1,11.8,-0.517
